Text,topic
Individual answers that seem not too general. More colloquial expressions,The topic is 1. Language and Conversation Style.
"Personally, i dont think they seem human, they are very robotic in their way to answer.",6. Evaluation
The way it speaks back to me.,1. Language and Conversation Style
"The way in which this chatbot speaks naturally as a human, pronouncing the same words correctly.",This response falls under topic 1: Language and Conversation Style.
It doesn't seem like a human,6. Evaluation
"Not much, the responses are pretty much generic most of the time and the only thing that actually solves the problem is if they have an option to choose to speak with an actual human.","This response touches on topics 5. Problem Solving and Adaptiveness, and 6. Evaluation."
"In fact, it's just that he replies to messages and writes you in an understandable way. But he often writes on a completely different, distant topic and has a hard time understanding what we mean. So a chatbot is still far from human.
","The response contains topic 1 (Language and Conversation Style), topic 2 (Personalization and Contextual Understanding), and topic 6 (Evaluation)."
The high number of pre-prepared conversations,"1. Language and Conversation Style
6. Evaluation"
the bot responds with phrases that an adult would use,1. Language and Conversation Style
"use of slang 
",1. Language and Conversation Style
Sometimes they answeared very polite,This response falls under topic 4: Emotion and Mannerisms.
The details that are put into the situation/issue that will be dealt with.,5. Problem Solving and Adaptiveness
"In case of a bot you can talk with, voice of the bot is very important. If it sounds too ""robotic"" than it's very obvious that's a bot. Speaking of all types of bots in general, the more accurate responses of the bot are, the more human-like (s)he seems. ",The response covers Topic 1 (Language and Conversation Style) and Topic 5 (Problem Solving and Adaptiveness).
"When it starts with a greeting like ""good morning, afternoon, etc.."" I think that is what makes it feel like I'm talking with someone and bot with something.","1. Language and Conversation Style
3. Response Time and Interaction"
When the chat bot uses language similar and let introduce specific questions.,This response relates to topic 1: Language and Conversation Style.
The quality of the answers.,6. Evaluation
"When it greets you with phrases like ""good afternoon, evening, morning, etc..""","1. Language and Conversation Style
2. Personalization and Contextual Understanding"
The connections between the words or the different ways you can answer the same question,"1. Language and Conversation Style
2. Personalization and Contextual Understanding
5. Problem Solving and Adaptiveness"
The words and phrases used in the texts.,This response pertains to Topic 1: Language and Conversation Style.
"Understanding the context of ""loose"" questions",2. Personalization and Contextual Understanding
accurate answers ,5. Problem Solving and Adaptiveness
"The delay between messages. 
Its messages being coherent and making sense.
The answers being actual answers and not generic information.

","3. Response Time and Interaction
1. Language and Conversation Style
6. Evaluation"
"Short, rapid and precise answers to my questions.",Topic 3: Response Time and Interaction
"Greeting by name, using punctuation, slightly delayed response (allows for typing) ",The topic numbers for this response are 2 (Personalization and Contextual Understanding) and 3 (Response Time and Interaction).
"Language used, also conversational words and phrases.",The topic is 1. Language and Conversation Style.
Pleasantries.  Appearing to  have understood what I have said.,2. Personalization and Contextual Understanding
They ask you questions and direct you either to answers or to the correct human to talk to,5. Problem Solving and Adaptiveness
"Responds in full sentences
Responds in a relevant way directly related to what the user inputs","This response relates to Topic 1: Language and Conversation Style, as it involves using complete sentences and responding directly to user inputs in a relevant way. It also falls under Topic 2: Personalization and Contextual Understanding, since the chatbot is understanding and responding to individual queries relevantly."
"How they communicate with you. If they say hello, can offer personalised answers to your queries","This response covers Topic 1: Language and Conversation Style, and Topic 2: Personalization and Contextual Understanding."
"The grammar is correct, they are polite like a customer service rep. They are given a human name","1. Language and Conversation Style
4. Emotion and Mannerisms"
Real human like responses that aren't canned answers.,"1. Language and Conversation Style
3. Response Time and Interaction
4. Emotion and Mannerisms
5. Problem Solving and Adaptiveness"
It didnƒ??t ,"It seems like the response is incomplete, so it's not possible to identify a topic."
They are good at answering simple questions ,5. Problem Solving and Adaptiveness
use of informal language,The topic is 1. Language and Conversation Style.
"Initial greetings 
",1. Language and Conversation Style
"He responds to the questions in a logical way, sometimes even adds something to the sentence that makes him feel more humane ","1. Language and Conversation Style
5. Problem Solving and Adaptiveness"
Their sentence structure which seems natural,The topic is 1. Language and Conversation Style.
They respond quickly and appropriately to what you are saying/asking ,The topic is 3. Response Time and Interaction.
they answer your queries in relation to a product /service,5. Problem Solving and Adaptiveness
They say hello and seem like theyƒ??re speaking to you,1. Language and Conversation Style
when i have enquiry the chatbot never help me,6. Evaluation
The vocabulary used,This response pertains to Topic 1: Language and Conversation Style.
"a casual greeting, emojis ",This response refers to Topic 1: Language and Conversation Style and Topic 4: Emotion and Mannerisms.
They can answer most questions and reply relatively quickly ,"The response refers to topic 3: Response Time and Interaction, and topic 5: Problem Solving and Adaptiveness."
Reacting to words/phrases you say,"2. Personalization and Contextual Understanding
3. Response Time and Interaction"
"Being able to answer queries or direct you to where to find the answers to your  if they don't have the answers, also being able to 'predict' queries ",This response is related to topic 5. Problem Solving and Adaptiveness.
Being able to answer questions and queries given to them like a human. Being understanding and showing empathy,"The response covers topics 1. Language and Conversation Style, 4. Emotion and Mannerisms, and 5. Problem Solving and Adaptiveness."
"Quick communication, sorts problems",The response pertains to topic 3 (Response Time and Interaction) and topic 5 (Problem Solving and Adaptiveness).
"Spontaneity and reciprocity, feeling like they have read and even understood what you said, as opposed to standarised responses.",This response pertains to topic 2: Personalization and Contextual Understanding. It also touches on topic 1: Language and Conversation Style since it mentions the disappointment with standardized responses.
They reply to you and are active in chat whilst u ask questions ,3. Response Time and Interaction
When they actually understand what you ask rather than just replying with general messages,"2. Personalization and Contextual Understanding
6. Evaluation"
