,ID,text,labels
0,1375050763081109514t,""" Death of Austrian nurse & #AstraZeneca vaccine : link confirmed according to Greifswald experts : the vaccine would trigger a "" defense mechanism "" of coagulation , normally when a wound heals , causing a blood clot in the brain . """,side-effect
1,1244766685359271937t,All I know is I ain ’ t getting the vaccine . It ’ s all bs,none
2,1289630055874920448t,  Retweet : vaccine = illness and death . stay 6 feet away from it . Demonic company Astrazeneca is .,side-effect
3,1354127624453369856t, Trust me this will NEVER be over vaccine or no vaccine .,none
4,1329555068845256706t,"New Pfizer Results : Coronavirus Vaccine Is Safe and 95 % Effective - Slashdot  Safe and effective for pharma only , everyone who accepts vax is risking their life . Do #VaccinesWork ? ",side-effect
5,1433186539970965504t,"“ New Zealand reported its first recorded death linked to the Pfizer / BioNTech COVID - 19 vaccine , the health ministry said on Monday , after a woman suffered a rare heart muscle inflammation side effect . ” ⁦  ⁩ #novaccinepassportanywhere ",side-effect
6,1377368918465998849t,"it took me 5 mins in the hospital to decide against the whole vaccine taking process , like nah that system ain't putting nothing in me",pharma
7,1328399842385616896t,"The race to the world ’ s greatest cash cow has more competition . I wonder how many corners were shaved by all of them . What side effects or collateral damage will we live with later ? I believe real imperial scientific data , NOT press releases ! Moderna #COVID__19 #coronavirus",pharma side-effect
8,1332909005589516293t, I don ’ t think people should get a Covid vaccine . It would be so unfair to those who have already died of Covid .,none
9,1344269461763858433t,"So the vaccine it's either making is sick , giving us COVID , or plain and simply killing us ... And NOW THIS ! FDA recalls more hand sanitizers over potentially dangerous chemicals  #FoxBusiness",side-effect
10,1338566157062660098t,If u don ’ t need 2 wear a 😷 u don ’ t need the vaccine . #mondaythoughts #MondayMorning #CovidVaccine ,none
11,1338769046750326785t," Be careful now with the Pfizer vaccine , not is 100 % effective against the covid - 19 . I don't want to become a mouse of Pfizer . ",ineffective
12,1370296726058270721t,"clots in patients who received the vaccine , including at least one case in Denmark where the patient died . More countries have followed Denmark by suspending approval of the AstraZeneca - Oxford COVID vaccine . Switzerland , Austria , Iceland , Norway , Denmark , Estonia , Lithuania , -",side-effect
13,1232298490274951169t," And since we ’ re asking questions , here ’ s one : exactly how much 💰 have you paid our government officials to push through these mandates ? ? ? Stay TF away from my kids , you ’ ll never get to them or me ! #parentsoverpharma #believemothers #stopbiggovt",mandatory
14,1317225707068674048t,  I see your a self declared business man ? What's your conflict of interest ? Do u have shares Oxford vaccine ? Shameful to encourage vaccine with unknown longterm implications ! Encourage & support #informedchoice #informedconsent Is history repeating itself ? ,mandatory rushed
15,1410710859131752448t,Latest from UK on #AstraZeneca vaccine casualties - 70 #Deaths from #VITT = #VIPIT = #TTS + 866 dead ( excludes 112 spontaneous abortions ) from its other side effects        tell #ScoMo ,side-effect
16,1376364991381610500t,#Denmark paused the use of the  vaccine as a precautionary measure on March 11 after reports that a 60 - year - old woman died with blood clots in several parts of her body a week after she received the #vaccine . ,side-effect
17,1325792643427786752t,"Pfizer says their new covid vaccine 90 % effective . Well they would say that . Untried , improperly tested , rushed , hugely profitable and no indemnity You need to be dumb to have this especially when most people dont need it they have natural immunity defence system #vaccine",pharma rushed unnecessary
18,1248387260703076354t,"Watch "" EXCLUSIVE : DR . SHIVA EXPOSES FAUCI , BIRX , GATES , AND THE W . H . O . COVID - 19 ENDGAME "" on YouTube  Chiped / Vaccines are what they want .",conspiracy ingredients
19,1375720451952013313t,   I have . It takes about 2 yrs to develop & produce a flu vaccine for a certain strain ( Its not one - size - fits all ) . The WHO guesses which strain will be prevalent 2 yrs in advance but may get it wrong & it won ’ t protect from the current strain anyway . I don ’ t like medical guesswork,rushed
20,1371490319020199938t,Whilst some European countries are halting the covid vaccine of alleged blood clot .. we here encouraging people to take in the vaccine ? Africa 🤦 ‍ ♂ ️ 🤦 ‍ ♂ ️ 🤦 ‍ ♂ ️ #AFRICANGIANT #AstraZeneca #COVID19 #coronavirus #COVAX #Ghana #COVID19Vaccine,side-effect
